Date,Open,High,Low,Close,Volume
12/4/2018 16:00:00,7407.95,7421.11,7150.11,7158.43,0
12/6/2018 16:00:00,7017.05,7189.52,6984.34,7188.26,0
12/7/2018 16:00:00,7163.49,7205.37,6945.27,6969.25,0
12/10/2018 16:00:00,6959.63,7047.62,6878.99,7020.52,0
12/11/2018 16:00:00,7121.66,7129.83,6983.01,7031.83,0
12/12/2018 16:00:00,7127,7197.29,7096.56,7098.31,0
12/13/2018 16:00:00,7135.28,7154.64,7034.82,7070.33,0
12/14/2018 16:00:00,6986.37,7027.17,6898.99,6910.67,0
12/17/2018 16:00:00,6886.46,6931.81,6710.01,6753.73,0
12/18/2018 16:00:00,6809.82,6847.27,6733.71,6783.91,0
12/19/2018 16:00:00,6777.59,6868.86,6586.5,6636.83,0
12/20/2018 16:00:00,6607.76,6666.2,6447.91,6528.41,0
12/21/2018 16:00:00,6573.49,6586.68,6304.63,6332.99,0
12/24/2018 13:00:00,6278.49,6355.18,6190.17,6192.92,0
12/26/2018 16:00:00,6257.86,6555.53,6214.34,6554.36,0
12/27/2018 16:00:00,6457.19,6583.01,6336.97,6579.49,0
12/28/2018 16:00:00,6616.79,6684.18,6529.22,6584.52,0
12/31/2018 16:00:00,6649.52,6659.96,6570.06,6635.28,0
1/2/2019 16:00:00,6506.91,6693.71,6506.88,6665.94,0
1/3/2019 16:00:00,6584.77,6600.21,6457.13,6463.5,0
1/4/2019 16:00:00,6567.14,6760.69,6554.24,6738.86,0
1/7/2019 16:00:00,6757.54,6855.6,6741.4,6823.47,0
1/8/2019 16:00:00,6893.44,6909.58,6795.86,6897,0
1/9/2019 16:00:00,6923.06,6985.22,6899.56,6957.08,0
1/10/2019 16:00:00,6908.65,6991.37,6877.08,6986.07,0
1/11/2019 16:00:00,6947.46,6975.65,6933.6,6971.48,0
1/14/2019 16:00:00,6908.03,6936.22,6887.48,6905.92,0
1/15/2019 16:00:00,6931.39,7025.85,6928.12,7023.83,0
1/16/2019 16:00:00,7033.75,7079.63,7028.12,7034.69,0
1/17/2019 16:00:00,7010.13,7113.95,7003.62,7084.46,0
1/18/2019 16:00:00,7134.1,7185.38,7096.62,7157.23,0
1/22/2019 16:00:00,7109.57,7110.16,6979.81,7020.36,0
1/23/2019 16:00:00,7061.65,7084.85,6953.23,7025.77,0
1/24/2019 16:00:00,7042.25,7078.96,7029.95,7073.46,0
1/25/2019 16:00:00,7128.19,7174.56,7111.09,7164.86,0
1/28/2019 16:00:00,7075.01,7086.3,7034.25,7085.69,0
1/29/2019 16:00:00,7087.49,7092.29,7011.47,7028.29,0
1/30/2019 16:00:00,7094.79,7201.31,7065.57,7183.08,0
1/31/2019 16:00:00,7208.17,7303.12,7205.95,7281.74,0
2/1/2019 16:00:00,7256.37,7299.94,7243.41,7263.87,0
2/4/2019 16:00:00,7266.28,7348.23,7261.07,7347.54,0
2/5/2019 16:00:00,7356.34,7408.69,7355.36,7402.08,0
2/6/2019 16:00:00,7400.44,7410.78,7346.72,7375.28,0
2/7/2019 16:00:00,7316.5,7336.74,7235.05,7288.35,0
2/8/2019 16:00:00,7232.3,7299.44,7225.14,7298.2,0
2/11/2019 16:00:00,7327.37,7343.56,7290.03,7307.91,0
2/12/2019 16:00:00,7358.85,7419.43,7349.81,7414.62,0
2/13/2019 16:00:00,7437.46,7461.67,7413.84,7420.38,0
2/14/2019 16:00:00,7390.25,7454.42,7375.71,7426.96,0
2/15/2019 16:00:00,7468.57,7477.28,7440.26,7472.41,0
2/19/2019 16:00:00,7450.75,7507.79,7450.27,7486.77,0
2/20/2019 16:00:00,7490.31,7513.7,7455.25,7489.07,0
2/21/2019 16:00:00,7475.41,7485.75,7430.89,7459.71,0
2/22/2019 16:00:00,7481.63,7527.55,7479.01,7527.55,0
2/25/2019 16:00:00,7585.3,7602.69,7551.61,7554.46,0
